Account,Project Name,Region,Practice,Project Manager,Start Date,End Date,Record ID
"FedEx Corporate Services, Inc.",FedEx-FY 16 App Support,NATL,NoSQL,John Holshey,6/1/2015,5/31/2016,a1D70000002lflL
"FedEx Corporate Services, Inc.",FedEx-FY 16 Hosting Support,NATL,NoSQL,John Holshey,6/1/2015,5/31/2016,a1D70000002lfki
"FedEx Corporate Services, Inc.",SSO and CMM Migration,NATL,,John Holshey,11/10/2014,3/31/2015,a1D70000002McxE
"FedEx Corporate Services, Inc.",Taxonomy Research,NATL,,John Holshey,9/22/2014,11/29/2014,a1D70000002LXRM
"FedEx Corporate Services, Inc.",Taxonomy work for SBC,NATL,Enterprise Search,John Holshey,12/1/2015,2/19/2016,a1D39000003Qj3H
Genentech,Genentech - SWA Scoping,NATL,NoSQL,Mike Green,5/18/2015,6/5/2015,a1D70000002l5l8
Genentech,Genentech SWA,NATL,NoSQL,Mike Green,6/15/2015,3/31/2016,a1D70000003FUEL
Government of Alberta Canada,ELK & Redis,NATL,,Mike Green,8/18/2014,5/1/2015,a1D70000002LTzK
"Hortonworks, Inc.",ATT Seagate,MW-CHI,,Phil Favia,10/1/2014,12/31/2014,a1D70000002MTA8
"Hortonworks, Inc.",Bell Helicopter,COE,,Andy Kruth,6/1/2014,8/30/2014,a1D70000001KmHq
"Hortonworks, Inc.",Bell Helicopter,COE,,Andy Kruth,10/1/2014,12/31/2014,a1D70000002MT0N
"Hortonworks, Inc.",CSAA Security Implementation,COE,Big Data,Andy Kruth,7/13/2015,8/14/2015,a1D70000002dHUl
"Hortonworks, Inc.",Dell First Phase,COE,,Andy Kruth,12/9/2013,4/30/2014,a1D70000001Jjdm
"Hortonworks, Inc.",Dominos Ingestion,COE,Big Data,Andy Kruth,3/2/2015,8/31/2015,a1D70000002jnBn
"Hortonworks, Inc.",Dominos Ingestion-Sub Project,NATL,Big Data,Andy Kruth,3/2/2015,8/31/2015,a1D70000003U5Q4
"Hortonworks, Inc.",Dominos Shadow,COE,,Andy Kruth,3/2/2015,3/31/2015,a1D70000002jnUu
"Hortonworks, Inc.",HEB-COE,COE,,Andy Kruth,7/1/2014,12/31/2015,a1D700000021sq4
"Hortonworks, Inc.",HEB-National,NATL,,Andy Kruth,7/1/2014,12/31/2015,a1D70000001KzWc
"Hortonworks, Inc.",Homeaway Security,COE,Big Data,Andy Kruth,8/24/2015,9/25/2015,a1D70000003SjUU
"Hortonworks, Inc.",Hortonworks - Target - Caspian,COE,Big Data,Andy Kruth,4/27/2015,9/11/2015,a1D70000002l0ld
"Hortonworks, Inc.",Hortonworks - Target - Team Expansion,COE,Big Data,Andy Kruth,3/23/2015,7/31/2016,a1D70000002jzCh
"Hortonworks, Inc.",HSBC,COE,,Andy Kruth,10/15/2013,12/31/2013,a1D70000001ImxA
"Hortonworks, Inc.",HWX - American Fam Ins-Project,COE,Big Data,Tom Reidy,12/7/2015,5/1/2016,a1D70000003DGa8
"Hortonworks, Inc.",HWX - Geisinger Health,MW-CHI,Enterprise Search,Doug Gattuso,1/25/2016,1/29/2016,a1D39000003R5S4
"Hortonworks, Inc.",HWX - Salesforce,MW-CHI,Big Data,Doug Gattuso,6/15/2015,7/11/2015,a1D70000003FQCn
"Hortonworks, Inc.",HWX - Tudor subcontract-Project,COE,Big Data,Tom Reidy,11/29/2015,1/2/2016,a1D70000003DGaI
"Hortonworks, Inc.",HWX-Kohls Security Pll Cluster,COE,,Andy Kruth,6/21/2015,7/4/2015,a1D70000003FWkN
"Hortonworks, Inc.",HWX-Tudor Sub- STL,MW-STL,Big Data,Sean Hall,1/3/2016,1/30/2016,a1D39000003QuxQ
"Hortonworks, Inc.",HWX-USPS(Deloitte),COE,,Andy Kruth,8/28/2013,9/6/2013,a1D70000001Imww
"Hortonworks, Inc.",Kohl's Security Implementation,COE,Big Data,Andy Kruth,5/11/2015,5/22/2015,a1D70000002l5oQ
"Hortonworks, Inc.",Match.com HDP 2.2 Upgrade,COE,Big Data,Andy Kruth,7/7/2015,7/10/2015,a1D70000002dFmm
"Hortonworks, Inc.",Progressive Hadoop Support,COE,,Andy Kruth,1/1/2014,12/31/2014,a1D70000001JvNt
"Hortonworks, Inc.",SC Johnson,COE,,Andy Kruth,5/18/2014,12/31/2014,a1D70000001KhBz
"Hortonworks, Inc.",Sprint FLUX Migration,MW-CHI,Big Data,Phil Favia,2/23/2015,6/30/2015,a1D70000002jeGW
"Hortonworks, Inc.",Triad Retail Media Hadoop JumpStart,DC,,Niels Nielsen,12/16/2013,12/27/2013,a1D70000001JeWk
"Hortonworks, Inc.",Verizon,COE,,Andy Kruth,7/26/2013,12/31/2014,a1D70000001Imwt
ICF - Ironworks,IDOL Award Search Project,DC,,Niels Nielsen,11/5/2013,12/31/2014,a1D70000001IoRJ
INTO,INTO - Round 2,NATL,Big Data,Mike Green,5/25/2015,8/2/2015,a1D70000002laF3
INTO,INTO Master Data Set,NATL,,Mike Green,7/14/2014,8/15/2014,a1D70000001L1Y6
Janus Capital Management,Janus - SOW #10 (Abe),NATL,,Mike Green,9/9/2013,9/30/2014,a1D70000001Imwz
Janus Capital Management,Janus - SOW #11,NATL,,Mike Green,9/23/2013,1/31/2014,a1D70000001Imx1
Janus Capital Management,Janus - SOW #12,NATL,,Mike Green,10/14/2013,12/31/2013,a1D70000001Imx6
Janus Capital Management,Janus - SOW #14 - QA,NATL,,Mike Green,1/21/2014,9/30/2014,a1D70000001Jv4j
Janus Capital Management,Janus - SOW #15 (Advisor Fund),NATL,,Mike Green,4/1/2014,7/31/2014,a1D70000001KIPB
Janus Capital Management,Janus - SOW#8 (Niranjan),NATL,,Mike Green,7/1/2013,3/31/2014,a1D70000001Imwh
Janus Capital Management,Janus - SOW#9 (Architecture),NATL,,Mike Green,8/2/2013,7/31/2014,a1D70000001Imwr
Janus Capital Management,SOW13-SW Ops,NATL,,Mike Green,12/16/2013,3/31/2014,a1D70000001Jh6J
Johnson Health Tech,Fitness Database/Application,MW-CHI,,Phil Favia,4/7/2014,12/31/2014,a1D70000001KIJa
Jones & Bartlett Learning,Taxonomy Server Selection,DC,Enterprise Web,Niels Nielsen,2/21/2016,3/5/2016,a1D39000003R8x2
Mallinckrodt,Mallinckrodt-CMS Evaluation,MW-STL,Enterprise Web,Sean Hall,8/3/2015,12/11/2015,a1D70000003SOHR
Manegait,Site Migration to WordPress,NATL,,Sean Hall,5/17/2013,6/28/2013,a1D70000001ImwZ
ManTech International Corp.,NavAir DSE Prototype,DC,NoSQL,Niels Nielsen,12/14/2014,5/15/2015,a1D70000002i6t8
MarkLogic,ACA - Brian,NATL,NoSQL,Mike Green,8/3/2015,2/27/2016,a1D70000003S88C
MarkLogic,ACA - Markus Flatscher,MW-CHI,NoSQL,Doug Gattuso,6/16/2014,3/31/2016,a1D70000001Knwd
MarkLogic,America's Test Kitchen,NATL,,Mike Green,11/13/2013,12/31/2013,a1D70000001Ioba
MarkLogic,CGI CMS FFE for Brian Only,DC,,Niels Nielsen,7/1/2013,7/5/2014,a1D70000001Imwg
MarkLogic,CGI CMS FFE for Joel,DC,,Niels Nielsen,12/9/2013,2/28/2014,a1D70000001JFgU
MarkLogic,CGI CMS FFE for Mark Only,DC,,Niels Nielsen,10/27/2013,1/10/2015,a1D70000001Imwm
MarkLogic,CMS FFE for Brian,NATL,,Mike Green,7/1/2014,9/30/2014,a1D70000001KyEv
MarkLogic,CMS FFE for Mike Ross,DC,,Niels Nielsen,11/3/2014,1/10/2015,a1D70000002MTR7
MarkLogic,CMS FFE for Praveen,DC,NoSQL,Niels Nielsen,10/27/2013,10/31/2014,a1D70000001ImVF
MarkLogic,CMS Terremark - Matt Ross,DC,,Niels Nielsen,3/13/2014,1/10/2015,a1D70000001KDgU
MarkLogic,Fairfax County FLEA Project,DC,,Niels Nielsen,10/29/2012,12/31/2014,a1D70000001ImwO
MarkLogic,FFM 2015 Mike Ross,DC,NoSQL,Niels Nielsen,1/11/2015,4/17/2015,a1D70000002iS8a
MarkLogic,FFM for Karl Erisman,DC,,Niels Nielsen,1/2/2014,6/27/2014,a1D70000001Jkmm
MarkLogic,FFM for Praveen Venkata,DC,,Niels Nielsen,11/1/2014,1/10/2015,a1D70000002MKiq
MarkLogic,Mark Rosenzweig ACA Q1 2016,DC,NoSQL,Niels Nielsen,1/10/2016,2/29/2016,a1D39000003QwPi
MarkLogic,MarkLogic for QSSI DSH,DC,,Niels Nielsen,10/27/2013,1/17/2014,a1D70000001Imwa
MarkLogic,Matt Ross Change Utility 2016 Q1,DC,NoSQL,Niels Nielsen,1/10/2016,2/29/2016,a1D39000003QwPd
MarkLogic,ML License Referral-Project,NATL,DAM,Mike Green,1/30/2015,2/1/2015,a1D39000003R1Qz
MarkLogic,MLCS-FFM 2015 Mark Rosenzweig,DC,NoSQL,Niels Nielsen,1/11/2015,1/9/2016,a1D70000002iS8V
MarkLogic,MLCS-FFM 2015 Matt Ross,DC,NoSQL,Niels Nielsen,1/11/2015,1/9/2016,a1D70000002iS8u
MarkLogic,MLCS-FFM 2015 Praveen Venkata,DC,NoSQL,Niels Nielsen,1/11/2015,1/9/2016,a1D70000002iS8Q
MarkLogic,MLCS-FFM Praveen Venkata,DC,NoSQL,Niels Nielsen,1/10/2016,2/29/2016,a1D39000003QwPn
MarkLogic,USPTO Support,DC,,Niels Nielsen,10/27/2013,2/28/2014,a1D70000001Imx9
Marriott International,2016 Adaptive Content Support Felix Simon,DC,Enterprise Web,Niels Nielsen,1/10/2016,8/31/2016,a1D39000003QyDD
Marriott International,Adaptive Content Modeling,DC,Enterprise Web,Niels Nielsen,10/25/2015,3/5/2016,a1D70000003D18q
Marriott International,CMS Use Case Development - 13-ECP-913,DC,,Niels Nielsen,10/27/2013,11/30/2013,a1D70000001Imwv
Marriott International,Content Frameworks Documentation,DC,,Niels Nielsen,11/24/2013,1/31/2014,a1D70000001JFJo
Marriott International,Content Retirement 2015,DC,Enterprise Web,Niels Nielsen,5/17/2015,7/18/2015,a1D70000002lVet
Marriott International,Content Support 2014 - 14-ECP-975 - Felix Simon,DC,,Niels Nielsen,2/16/2014,12/31/2014,a1D70000001K0xm
Marriott International,Digital Brand Guide Site Hosting,DC,,Niels Nielsen,10/27/2013,8/31/2014,a1D70000001Imwl
Marriott International,Digital Site Hosting and Support,DC,Enterprise Web,Niels Nielsen,9/1/2014,12/5/2015,a1D70000002Kln7
Marriott International,Hosting and Support Services 2016,DC,Enterprise Web,Niels Nielsen,1/31/2016,10/18/2016,a1D39000003R6Xb
