Account,Project Name,Region,Practice,Project Manager,Start Date,End Date,Record ID
Patheos,Patheos 2015 Support,NATL,Enterprise Web,John Holshey,1/1/2015,2/26/2016,a1D70000002iR0I
Patheos,WordPress Update,NATL,Enterprise Web,John Holshey,1/18/2016,2/26/2016,a1D39000003R0Qu
Pioneer Electronics,Pioneer RFP Response,NATL,,Mike Green,5/26/2014,6/30/2014,a1D70000001KhSn
Polymath,Polymath-Six Seeds-Project,NATL,Enterprise Web,John Holshey,10/6/2015,2/29/2016,a1D70000003CQrC
Priority Payment Systems LLC,PPS - Elastic Architecture-Project,NATL,Big Data,Mike Green,2/29/2016,3/18/2016,a1D39000003R9xl
Priority Payment Systems LLC,PPS - Hadoop Pilot -Kafka Consulting,NATL,Big Data,Mike Green,12/1/2015,3/31/2016,a1D70000003DFg5
Priority Payment Systems LLC,PPS Discovery Workshop-Project,NATL,Big Data,Mike Green,10/5/2015,10/16/2015,a1D70000003Ujdv
Prolung,Prolung-Portal Development,NATL,Enterprise Web,John Holshey,9/14/2015,9/19/2015,a1D70000003UF16
Raytheon,Raytheon XQuery Class,NATL,,John Holshey,11/18/2013,11/29/2013,a1D70000001JEl7
Raytheon,Raytheon-Fall 2015 Staff Aug,NATL,NoSQL,John Holshey,9/8/2015,12/31/2015,a1D70000003U2hb
Raytheon,Raytheon-Ivan 2015,NATL,NoSQL,John Holshey,9/28/2015,12/31/2015,a1D70000003UjHA
Raytheon,Raytheon-MarkLogic,NATL,,John Holshey,9/17/2013,12/31/2013,a1D70000001Imx0
Raytheon,Ruisi ML Support,NATL,,John Holshey,7/28/2014,9/30/2014,a1D70000002IyTM
Real Gravity,Real Gravity | SNI - Butterfly Player Data ingestion,COE,,Andy Kruth,4/1/2014,4/30/2014,a1D70000001KIKT
Real Gravity,Real Gravity | SNI - Freewheel data ingestion,COE,,Andy Kruth,3/3/2014,3/28/2014,a1D70000001KIKO
Real Gravity,Real Gravity | SNI - JSON/CSV Migration,COE,,Andy Kruth,1/30/2014,2/14/2014,a1D70000001Jv8f
Real Gravity,RealGravity,COE,,Andy Kruth,7/1/2013,9/1/2013,a1D70000001Imwk
Real Gravity,RG Hadoop Implementation,COE,,Andy Kruth,9/1/2013,12/31/2013,a1D70000001Imx2
